2024-07-22 19:45:05,138 INFO    StreamThr :2838505 [internal.py:wandb_internal():85] W&B internal server running at pid: 2838505, started at: 2024-07-22 19:45:05.137890
2024-07-22 19:45:05,139 DEBUG   HandlerThread:2838505 [handler.py:handle_request():158] handle_request: status
2024-07-22 19:45:05,141 INFO    WriterThread:2838505 [datastore.py:open_for_write():87] open: /home/jeongtae/RLMPPI/src/logs/car/1/wandb/run-20240722_194505-mau5kwtr/run-mau5kwtr.wandb
2024-07-22 19:45:05,142 DEBUG   SenderThread:2838505 [sender.py:send():379] send: header
2024-07-22 19:45:05,156 DEBUG   SenderThread:2838505 [sender.py:send():379] send: run
2024-07-22 19:45:05,670 INFO    SenderThread:2838505 [dir_watcher.py:__init__():211] watching files in: /home/jeongtae/RLMPPI/src/logs/car/1/wandb/run-20240722_194505-mau5kwtr/files
2024-07-22 19:45:05,670 INFO    SenderThread:2838505 [sender.py:_start_run_threads():1188] run started: mau5kwtr with start time 1721645105.137565
2024-07-22 19:45:05,679 DEBUG   HandlerThread:2838505 [handler.py:handle_request():158] handle_request: check_version
2024-07-22 19:45:05,680 DEBUG   SenderThread:2838505 [sender.py:send_request():406] send_request: check_version
2024-07-22 19:45:05,720 DEBUG   HandlerThread:2838505 [handler.py:handle_request():158] handle_request: run_start
2024-07-22 19:45:05,728 DEBUG   HandlerThread:2838505 [system_info.py:__init__():26] System info init
2024-07-22 19:45:05,728 DEBUG   HandlerThread:2838505 [system_info.py:__init__():41] System info init done
2024-07-22 19:45:05,728 INFO    HandlerThread:2838505 [system_monitor.py:start():194] Starting system monitor
2024-07-22 19:45:05,728 INFO    SystemMonitor:2838505 [system_monitor.py:_start():158] Starting system asset monitoring threads
2024-07-22 19:45:05,728 INFO    HandlerThread:2838505 [system_monitor.py:probe():214] Collecting system info
2024-07-22 19:45:05,729 INFO    SystemMonitor:2838505 [interfaces.py:start():188] Started cpu monitoring
2024-07-22 19:45:05,731 INFO    SystemMonitor:2838505 [interfaces.py:start():188] Started disk monitoring
2024-07-22 19:45:05,732 INFO    SystemMonitor:2838505 [interfaces.py:start():188] Started gpu monitoring
2024-07-22 19:45:05,732 INFO    SystemMonitor:2838505 [interfaces.py:start():188] Started memory monitoring
2024-07-22 19:45:05,732 INFO    SystemMonitor:2838505 [interfaces.py:start():188] Started network monitoring
2024-07-22 19:45:05,739 DEBUG   HandlerThread:2838505 [system_info.py:probe():152] Probing system
2024-07-22 19:45:05,743 DEBUG   HandlerThread:2838505 [system_info.py:_probe_git():137] Probing git
